sep=\t
Module Resource Usage Distribution Estimates
Generated at: Nov 06, 2025 08:55:35

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        SRLs	        ADDs	        LUTs	    COMB4s	      RAMs	 DSP/MULTs
  +u_VIP_Matrix_Generate_3X3_8Bit:VIP_Matrix_Generate_3X3_8Bit(IMG_HDISP=14'b010100000000,IMG_VDISP=14'b01011010000)	   192(148)	       0(0)	     53(13)	    144(96)	     0(0)	     4(0)	     0(0)	
   +u0_Line_Shift_RAM_8Bit:Line_Shift_RAM_8Bit(DATA_DEPTH=14'b010100000000)	     22(22)	       0(0)	     20(20)	     24(24)	     0(0)	     2(2)	     0(0)	
   +u1_Line_Shift_RAM_8Bit:Line_Shift_RAM_8Bit(DATA_DEPTH=14'b010100000000,DELAY_NUM=1)	     22(22)	       0(0)	     20(20)	     24(24)	     0(0)	     2(2)	     0(0)	
 +u_rgb2cbcr:rgb2ycbcr                                      	     54(54)	       2(2)	     68(68)	     28(28)	     0(0)	     0(0)	     7(7)	
 +u_vip_gray_median_filter:vip_gray_median_filter           	    313(16)	     17(16)	      53(0)	     559(0)	     0(0)	     4(0)	     0(0)	
  +u_vip_matrix_generate_3x3_8bit:VIP_Matrix_Generate_3X3_8Bit(IMG_HDISP=1280,IMG_VDISP=720)	   189(145)	       0(0)	     53(13)	   338(290)	     0(0)	     4(0)	     0(0)	
   +u0_Line_Shift_RAM_8Bit:Line_Shift_RAM_8Bit(DATA_DEPTH=14'b010100000000)	     22(22)	       0(0)	     20(20)	     24(24)	     0(0)	     2(2)	     0(0)	
   +u1_Line_Shift_RAM_8Bit:Line_Shift_RAM_8Bit(DATA_DEPTH=14'b010100000000,DELAY_NUM=1)	     22(22)	       0(0)	     20(20)	     24(24)	     0(0)	     2(2)	     0(0)	
  +u_median_filter_3x3_1:median_filter_3x3                  	     108(4)	       1(1)	       0(0)	     221(2)	     0(0)	     0(0)	     0(0)	
   +u_sort3_1:sort3                                         	     24(24)	       0(0)	       0(0)	     67(67)	     0(0)	     0(0)	     0(0)	
   +u_sort3_2:sort3                                         	     24(24)	       0(0)	       0(0)	     46(46)	     0(0)	     0(0)	     0(0)	
   +u_sort3_3:sort3                                         	     24(24)	       0(0)	       0(0)	     46(46)	     0(0)	     0(0)	     0(0)	
   +u_sort3_4:sort3                                         	       8(8)	       0(0)	       0(0)	     22(22)	     0(0)	     0(0)	     0(0)	
   +u_sort3_5:sort3                                         	       8(8)	       0(0)	       0(0)	     15(15)	     0(0)	     0(0)	     0(0)	
   +u_sort3_6:sort3                                         	       8(8)	       0(0)	       0(0)	     15(15)	     0(0)	     0(0)	     0(0)	
   +u_sort3_7:sort3                                         	       8(8)	       0(0)	       0(0)	       8(8)	     0(0)	     0(0)	     0(0)	
 +u_isp_dpc_y:isp_dpc(HEIGHT=720)                           	   563(544)	       2(2)	     90(80)	   600(576)	     0(0)	     8(0)	     0(0)	
  +linebuffer:shift_register(WIDTH=1280,LINES=4)            	     19(19)	       0(0)	     10(10)	     24(24)	     0(0)	     8(0)	     0(0)	
   +gen_ram_inst[0].u_ram:simple_dp_ram(AW=11,SZ=1279)      	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(2)	     0(0)	
   +gen_ram_inst[1].u_ram:simple_dp_ram(AW=11,SZ=1279)      	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(2)	     0(0)	
   +gen_ram_inst[2].u_ram:simple_dp_ram(AW=11,SZ=1279)      	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(2)	     0(0)	
   +gen_ram_inst[3].u_ram:simple_dp_ram(AW=11,SZ=1279)      	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(2)	     0(0)	
 +u_isp_dpc_u:isp_dpc(HEIGHT=720)                           	   563(544)	       1(1)	     90(80)	   597(573)	     0(0)	     8(0)	     0(0)	
  +linebuffer:shift_register(WIDTH=1280,LINES=4)            	     19(19)	       0(0)	     10(10)	     24(24)	     0(0)	     8(0)	     0(0)	
   +gen_ram_inst[0].u_ram:simple_dp_ram(AW=11,SZ=1279)      	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(2)	     0(0)	
   +gen_ram_inst[1].u_ram:simple_dp_ram(AW=11,SZ=1279)      	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(2)	     0(0)	
   +gen_ram_inst[2].u_ram:simple_dp_ram(AW=11,SZ=1279)      	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(2)	     0(0)	
   +gen_ram_inst[3].u_ram:simple_dp_ram(AW=11,SZ=1279)      	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(2)	     0(0)	
 +u_isp_dpc_v:isp_dpc(HEIGHT=720)                           	   561(542)	       1(1)	     90(80)	   597(573)	     0(0)	     8(0)	     0(0)	
  +linebuffer:shift_register(WIDTH=1280,LINES=4)            	     19(19)	       0(0)	     10(10)	     24(24)	     0(0)	     8(0)	     0(0)	
   +gen_ram_inst[0].u_ram:simple_dp_ram(AW=11,SZ=1279)      	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(2)	     0(0)	
   +gen_ram_inst[1].u_ram:simple_dp_ram(AW=11,SZ=1279)      	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(2)	     0(0)	
   +gen_ram_inst[2].u_ram:simple_dp_ram(AW=11,SZ=1279)      	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(2)	     0(0)	
   +gen_ram_inst[3].u_ram:simple_dp_ram(AW=11,SZ=1279)      	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(2)	     0(0)	
 +u_isp_bnr_y:isp_bnr(HEIGHT=720)                           	   215(204)	       2(2)	    101(91)	     47(23)	     0(0)	     8(0)	     0(0)	
  +linebuffer:shift_register(WIDTH=1280,LINES=4)            	     11(11)	       0(0)	     10(10)	     24(24)	     0(0)	     8(0)	     0(0)	
   +gen_ram_inst[0].u_ram:simple_dp_ram(AW=11,SZ=1279)      	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(2)	     0(0)	
   +gen_ram_inst[1].u_ram:simple_dp_ram(AW=11,SZ=1279)      	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(2)	     0(0)	
   +gen_ram_inst[2].u_ram:simple_dp_ram(AW=11,SZ=1279)      	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(2)	     0(0)	
   +gen_ram_inst[3].u_ram:simple_dp_ram(AW=11,SZ=1279)      	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(2)	     0(0)	
 +u_isp_bnr_u:isp_bnr(HEIGHT=720)                           	   215(204)	       1(1)	    101(91)	     45(21)	     0(0)	     8(0)	     0(0)	
  +linebuffer:shift_register(WIDTH=1280,LINES=4)            	     11(11)	       0(0)	     10(10)	     24(24)	     0(0)	     8(0)	     0(0)	
   +gen_ram_inst[0].u_ram:simple_dp_ram(AW=11,SZ=1279)      	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(2)	     0(0)	
   +gen_ram_inst[1].u_ram:simple_dp_ram(AW=11,SZ=1279)      	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(2)	     0(0)	
   +gen_ram_inst[2].u_ram:simple_dp_ram(AW=11,SZ=1279)      	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(2)	     0(0)	
   +gen_ram_inst[3].u_ram:simple_dp_ram(AW=11,SZ=1279)      	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(2)	     0(0)	
 +u_isp_bnr_v:isp_bnr(HEIGHT=720)                           	   214(203)	       1(1)	    101(91)	     46(22)	     0(0)	     8(0)	     0(0)	
  +linebuffer:shift_register(WIDTH=1280,LINES=4)            	     11(11)	       0(0)	     10(10)	     24(24)	     0(0)	     8(0)	     0(0)	
   +gen_ram_inst[0].u_ram:simple_dp_ram(AW=11,SZ=1279)      	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(2)	     0(0)	
   +gen_ram_inst[1].u_ram:simple_dp_ram(AW=11,SZ=1279)      	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(2)	     0(0)	
   +gen_ram_inst[2].u_ram:simple_dp_ram(AW=11,SZ=1279)      	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(2)	     0(0)	
   +gen_ram_inst[3].u_ram:simple_dp_ram(AW=11,SZ=1279)      	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(2)	     0(0)	
 +u_highlight_filter_top:vip_highlight_filter_top           	     587(0)	      25(8)	     106(0)	   1144(11)	     0(0)	     8(0)	     0(0)	
  +vip_highlight_filter1:vip_highlight_filter               	     290(0)	       8(8)	      53(0)	     565(8)	     0(0)	     4(0)	     0(0)	
   +u_vip_matrix_generate_3x3_8bit:VIP_Matrix_Generate_3X3_8Bit(IMG_HDISP=1280,IMG_VDISP=720)	   186(142)	       0(0)	     53(13)	   337(289)	     0(0)	     4(0)	     0(0)	
    +u0_Line_Shift_RAM_8Bit:Line_Shift_RAM_8Bit(DATA_DEPTH=14'b010100000000)	     22(22)	       0(0)	     20(20)	     24(24)	     0(0)	     2(2)	     0(0)	
    +u1_Line_Shift_RAM_8Bit:Line_Shift_RAM_8Bit(DATA_DEPTH=14'b010100000000,DELAY_NUM=1)	     22(22)	       0(0)	     20(20)	     24(24)	     0(0)	     2(2)	     0(0)	
   +u_median_filter_3x3:median_filter_3x3                   	     104(0)	       0(0)	       0(0)	     220(0)	     0(0)	     0(0)	     0(0)	
    +u_sort3_1:sort3                                        	     24(24)	       0(0)	       0(0)	     67(67)	     0(0)	     0(0)	     0(0)	
    +u_sort3_2:sort3                                        	     24(24)	       0(0)	       0(0)	     46(46)	     0(0)	     0(0)	     0(0)	
    +u_sort3_3:sort3                                        	     24(24)	       0(0)	       0(0)	     47(47)	     0(0)	     0(0)	     0(0)	
    +u_sort3_4:sort3                                        	       8(8)	       0(0)	       0(0)	     22(22)	     0(0)	     0(0)	     0(0)	
    +u_sort3_5:sort3                                        	       8(8)	       0(0)	       0(0)	     15(15)	     0(0)	     0(0)	     0(0)	
    +u_sort3_6:sort3                                        	       8(8)	       0(0)	       0(0)	     15(15)	     0(0)	     0(0)	     0(0)	
    +u_sort3_7:sort3                                        	       8(8)	       0(0)	       0(0)	       8(8)	     0(0)	     0(0)	     0(0)	
  +vip_highlight_filter2:vip_highlight_filter               	     297(0)	       9(8)	      53(0)	     568(7)	     0(0)	     4(0)	     0(0)	
   +u_vip_matrix_generate_3x3_8bit:VIP_Matrix_Generate_3X3_8Bit(IMG_HDISP=1280,IMG_VDISP=720)	   189(145)	       0(0)	     53(13)	   338(290)	     0(0)	     4(0)	     0(0)	
    +u0_Line_Shift_RAM_8Bit:Line_Shift_RAM_8Bit(DATA_DEPTH=14'b010100000000)	     22(22)	       0(0)	     20(20)	     24(24)	     0(0)	     2(2)	     0(0)	
    +u1_Line_Shift_RAM_8Bit:Line_Shift_RAM_8Bit(DATA_DEPTH=14'b010100000000,DELAY_NUM=1)	     22(22)	       0(0)	     20(20)	     24(24)	     0(0)	     2(2)	     0(0)	
   +u_median_filter_3x3:median_filter_3x3                   	     108(4)	       1(1)	       0(0)	     223(2)	     0(0)	     0(0)	     0(0)	
    +u_sort3_1:sort3                                        	     24(24)	       0(0)	       0(0)	     66(66)	     0(0)	     0(0)	     0(0)	
    +u_sort3_2:sort3                                        	     24(24)	       0(0)	       0(0)	     47(47)	     0(0)	     0(0)	     0(0)	
    +u_sort3_3:sort3                                        	     24(24)	       0(0)	       0(0)	     46(46)	     0(0)	     0(0)	     0(0)	
    +u_sort3_4:sort3                                        	       8(8)	       0(0)	       0(0)	     23(23)	     0(0)	     0(0)	     0(0)	
    +u_sort3_5:sort3                                        	       8(8)	       0(0)	       0(0)	     15(15)	     0(0)	     0(0)	     0(0)	
    +u_sort3_6:sort3                                        	       8(8)	       0(0)	       0(0)	     15(15)	     0(0)	     0(0)	     0(0)	
    +u_sort3_7:sort3                                        	       8(8)	       0(0)	       0(0)	       9(9)	     0(0)	     0(0)	     0(0)	
 +u_isp_ee:isp_ee                                           	 1434(1434)	 2642(2642)	     91(91)	   107(107)	     0(0)	     0(0)	     0(0)	
 +u_uart_control_top:uart_control_top                       	      88(0)	       0(0)	      31(0)	     154(0)	     0(0)	     0(0)	     0(0)	
  +u_integer_devider:integer_divider(DEVIDE_CNT=52)         	     32(32)	       0(0)	     31(31)	     45(45)	     0(0)	     0(0)	     0(0)	
  +u_uart_receiver_0:uart_receiver                          	     28(28)	       0(0)	       0(0)	     54(54)	     0(0)	     0(0)	     0(0)	
  +u_uart_scope:uart_scope                                  	     19(19)	       0(0)	       0(0)	     33(33)	     0(0)	     0(0)	     0(0)	
  +u_uart_transfer_0:uart_transfer                          	       9(9)	       0(0)	       0(0)	     22(22)	     0(0)	     0(0)	     0(0)	
 +u_yuv2rgb:vip_yuv2rgb(HEIGHT=720)                         	     65(65)	       0(0)	     69(69)	   109(109)	     0(0)	     0(0)	     5(5)	
 +u_AWB:AWB_top                                             	     774(0)	       0(0)	     193(0)	    1077(0)	     0(0)	     0(0)	     2(0)	
  +u_stat_awb:isp_stat_awb                                  	   276(276)	       0(0)	   127(127)	   145(145)	     0(0)	     0(0)	     0(0)	
  +u_alg_awb:alg_awb                                        	    460(16)	       0(0)	      66(0)	    912(20)	     0(0)	     0(0)	     0(0)	
   +div_rgain:shift_div                                     	   222(222)	       0(0)	     33(33)	   457(457)	     0(0)	     0(0)	     0(0)	
   +div_bgain:shift_div                                     	   222(222)	       0(0)	     33(33)	   435(435)	     0(0)	     0(0)	     0(0)	
  +u_isp_wb:isp_wb                                          	     38(38)	       0(0)	       0(0)	     20(20)	     0(0)	     0(0)	     2(2)	
 +u_axi4_ctrl:axi4_ctrl(C_ID_LEN=4,C_RD_END_ADDR=3686400,C_W_WIDTH=32,C_R_WIDTH=32)	   429(177)	       2(2)	     88(24)	    183(80)	     0(0)	    14(0)	     0(0)	
  +Gen_FIFO_W32.u_W0_FIFO_32:W0_FIFO_32                     	     126(0)	       0(0)	      32(0)	      52(0)	     0(0)	     8(0)	     0(0)	
   +u_efx_fifo_top:efx_fifo_top_a53de5ce4c6c4c1798148ae4d711ef1e(FAMILY="TITANIUM",SYNC_STAGE=3,MODE="FWFT",DEPTH=2048,OPTIONAL_FLAGS=0,PROGRAMMABLE_FULL="STATIC_SINGLE",PROG_FULL_ASSERT=1536,PROG_FULL_NEGATE=1536,PROGRAMMABLE_EMPTY="STATIC_SINGLE",PROG_EMPTY_ASSERT=127,PROG_EMPTY_NEGATE=128,ASYM_WIDTH_RATIO=6)	     126(0)	       0(0)	      32(0)	      52(0)	     0(0)	     8(0)	     0(0)	
    +genblk2.genblk1.efx_resetsync_wr_rst:efx_resetsync_a53de5ce4c6c4c1798148ae4d711ef1e(ACTIVE_LOW=0)	       2(0)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +active_high.efx_resetsync_active_high:efx_asyncreg_a53de5ce4c6c4c1798148ae4d711ef1e(WIDTH=1,ACTIVE_LOW=0,RST_VALUE=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
    +genblk2.genblk1.efx_resetsync_rd_rst:efx_resetsync_a53de5ce4c6c4c1798148ae4d711ef1e(ACTIVE_LOW=0)	       2(0)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +active_high.efx_resetsync_active_high:efx_asyncreg_a53de5ce4c6c4c1798148ae4d711ef1e(WIDTH=1,ACTIVE_LOW=0,RST_VALUE=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
    +xefx_fifo_ram:efx_fifo_ram_a53de5ce4c6c4c1798148ae4d711ef1e(FAMILY="TITANIUM",WR_DEPTH=2048,WDATA_WIDTH=32,RDATA_WIDTH=128,WADDR_WIDTH=11,OUTPUT_REG=0)	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     8(8)	     0(0)	
    +xefx_fifo_ctl:efx_fifo_ctl_a53de5ce4c6c4c1798148ae4d711ef1e_renamed_due_excessive_length_1	    122(62)	       0(0)	     32(32)	     52(16)	     0(0)	     0(0)	     0(0)	
     +async_clk.xrd2wr_bin2gray:efx_fifo_bin2gray_a53de5ce4c6c4c1798148ae4d711ef1e(WIDTH=10)	       0(0)	       0(0)	       0(0)	       9(9)	     0(0)	     0(0)	     0(0)	
     +async_clk.xrd2wr_addr_sync:efx_asyncreg_a53de5ce4c6c4c1798148ae4d711ef1e(ASYNC_STAGE=3,WIDTH=10,ACTIVE_LOW=0)	     30(30)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +async_clk.xrd2wr_gray2bin:efx_fifo_gray2bin_a53de5ce4c6c4c1798148ae4d711ef1e(WIDTH=10)	       0(0)	       0(0)	       0(0)	       9(1)	     0(0)	     0(0)	     0(0)	
      +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_a53de5ce4c6c4c1798148ae4d711ef1e(WIDTH=9)	       0(0)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	     0(0)	
       +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_a53de5ce4c6c4c1798148ae4d711ef1e(WIDTH=8)	       0(0)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_a53de5ce4c6c4c1798148ae4d711ef1e(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_a53de5ce4c6c4c1798148ae4d711ef1e(WIDTH=6)	       0(0)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_a53de5ce4c6c4c1798148ae4d711ef1e	       0(0)	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_a53de5ce4c6c4c1798148ae4d711ef1e(WIDTH=4)	       0(0)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_a53de5ce4c6c4c1798148ae4d711ef1e(WIDTH=3)	       0(0)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_a53de5ce4c6c4c1798148ae4d711ef1e(WIDTH=2)	       0(0)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
     +async_clk.wr2rd_bin2gray:efx_fifo_bin2gray_a53de5ce4c6c4c1798148ae4d711ef1e(WIDTH=12)	       0(0)	       0(0)	       0(0)	       9(9)	     0(0)	     0(0)	     0(0)	
     +async_clk.wr2rd_addr_sync:efx_asyncreg_a53de5ce4c6c4c1798148ae4d711ef1e(ASYNC_STAGE=3,WIDTH=12,ACTIVE_LOW=0)	     30(30)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +async_clk.wr2rd_gray2bin:efx_fifo_gray2bin_a53de5ce4c6c4c1798148ae4d711ef1e(WIDTH=12)	       0(0)	       0(0)	       0(0)	       9(1)	     0(0)	     0(0)	     0(0)	
      +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_a53de5ce4c6c4c1798148ae4d711ef1e(WIDTH=11)	       0(0)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	     0(0)	
       +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_a53de5ce4c6c4c1798148ae4d711ef1e(WIDTH=10)	       0(0)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_a53de5ce4c6c4c1798148ae4d711ef1e(WIDTH=9)	       0(0)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_a53de5ce4c6c4c1798148ae4d711ef1e(WIDTH=8)	       0(0)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_a53de5ce4c6c4c1798148ae4d711ef1e(WIDTH=7)	       0(0)	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_a53de5ce4c6c4c1798148ae4d711ef1e(WIDTH=6)	       0(0)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_a53de5ce4c6c4c1798148ae4d711ef1e	       0(0)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_a53de5ce4c6c4c1798148ae4d711ef1e(WIDTH=4)	       0(0)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
  +Gen_RFIFO_32.u_R0_FIFO_32:R0_FIFO_32                     	     126(0)	       0(0)	      32(0)	      51(0)	     0(0)	     6(0)	     0(0)	
   +u_efx_fifo_top:efx_fifo_top_38239a808b61431e862c27bfec9eae28(FAMILY="TITANIUM",SYNC_STAGE=3,MODE="FWFT",DATA_WIDTH=128,PROGRAMMABLE_FULL="STATIC_SINGLE",PROG_FULL_ASSERT=256,PROG_FULL_NEGATE=256,PROGRAMMABLE_EMPTY="NONE",PROG_EMPTY_ASSERT=2,PROG_EMPTY_NEGATE=3,ASYM_WIDTH_RATIO=2)	     126(0)	       0(0)	      32(0)	      51(0)	     0(0)	     6(0)	     0(0)	
    +genblk2.genblk1.efx_resetsync_wr_rst:efx_resetsync_38239a808b61431e862c27bfec9eae28(ACTIVE_LOW=0)	       2(0)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +active_high.efx_resetsync_active_high:efx_asyncreg_38239a808b61431e862c27bfec9eae28(WIDTH=1,ACTIVE_LOW=0,RST_VALUE=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
    +genblk2.genblk1.efx_resetsync_rd_rst:efx_resetsync_38239a808b61431e862c27bfec9eae28(ACTIVE_LOW=0)	       2(0)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +active_high.efx_resetsync_active_high:efx_asyncreg_38239a808b61431e862c27bfec9eae28(WIDTH=1,ACTIVE_LOW=0,RST_VALUE=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
    +xefx_fifo_ram:efx_fifo_ram_38239a808b61431e862c27bfec9eae28(FAMILY="TITANIUM",RD_DEPTH=2048,WDATA_WIDTH=128,RDATA_WIDTH=32,RADDR_WIDTH=11,OUTPUT_REG=0)	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     6(6)	     0(0)	
    +xefx_fifo_ctl:efx_fifo_ctl_38239a808b61431e862c27bfec9eae28(SYNC_CLK=0,SYNC_STAGE=3,MODE="FWFT",RADDR_WIDTH=11,ASYM_WIDTH_RATIO=2,RAM_MUX_RATIO=4,PROGRAMMABLE_FULL="STATIC_SINGLE",PROG_FULL_ASSERT=256,PROG_FULL_NEGATE=256,PROG_EMPTY_ASSERT=2,PROG_EMPTY_NEGATE=3,OVERFLOW_PROTECT=1,UNDERFLOW_PROTECT=1)	    122(62)	       0(0)	     32(32)	     51(15)	     0(0)	     0(0)	     0(0)	
     +async_clk.xrd2wr_bin2gray:efx_fifo_bin2gray_38239a808b61431e862c27bfec9eae28(WIDTH=12)	       0(0)	       0(0)	       0(0)	       9(9)	     0(0)	     0(0)	     0(0)	
     +async_clk.xrd2wr_addr_sync:efx_asyncreg_38239a808b61431e862c27bfec9eae28(ASYNC_STAGE=3,WIDTH=12,ACTIVE_LOW=0)	     30(30)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +async_clk.xrd2wr_gray2bin:efx_fifo_gray2bin_38239a808b61431e862c27bfec9eae28(WIDTH=12)	       0(0)	       0(0)	       0(0)	       9(1)	     0(0)	     0(0)	     0(0)	
      +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_38239a808b61431e862c27bfec9eae28(WIDTH=11)	       0(0)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	     0(0)	
       +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_38239a808b61431e862c27bfec9eae28(WIDTH=10)	       0(0)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_38239a808b61431e862c27bfec9eae28(WIDTH=9)	       0(0)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_38239a808b61431e862c27bfec9eae28(WIDTH=8)	       0(0)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_38239a808b61431e862c27bfec9eae28(WIDTH=7)	       0(0)	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_38239a808b61431e862c27bfec9eae28(WIDTH=6)	       0(0)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_38239a808b61431e862c27bfec9eae28	       0(0)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_38239a808b61431e862c27bfec9eae28(WIDTH=4)	       0(0)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
     +async_clk.wr2rd_bin2gray:efx_fifo_bin2gray_38239a808b61431e862c27bfec9eae28(WIDTH=10)	       0(0)	       0(0)	       0(0)	       9(9)	     0(0)	     0(0)	     0(0)	
     +async_clk.wr2rd_addr_sync:efx_asyncreg_38239a808b61431e862c27bfec9eae28(ASYNC_STAGE=3,WIDTH=10,ACTIVE_LOW=0)	     30(30)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +async_clk.wr2rd_gray2bin:efx_fifo_gray2bin_38239a808b61431e862c27bfec9eae28(WIDTH=10)	       0(0)	       0(0)	       0(0)	       9(1)	     0(0)	     0(0)	     0(0)	
      +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_38239a808b61431e862c27bfec9eae28(WIDTH=9)	       0(0)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	     0(0)	
       +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_38239a808b61431e862c27bfec9eae28(WIDTH=8)	       0(0)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_38239a808b61431e862c27bfec9eae28(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_38239a808b61431e862c27bfec9eae28(WIDTH=6)	       0(0)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_38239a808b61431e862c27bfec9eae28	       0(0)	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	     0(0)	
